WorkOrder,ModelName,LineName,SectionName,GroupName,StationName,TesterId,FixtureId,CarrierId,CarrierSide,TimeStamp,TestResult,SequenceNumber,Title,FileName,
BUNC1B348026#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1462,0,4/21/2026 12:30,PASS,0,N/A,N/A
BUNC1B348023#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA01,ECD16010089-CVI-04,CR_CD01:1347,0,4/21/2026 12:30,PASS,0,N/A,N/A
BUNC1B347971#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1355,0,4/21/2026 12:31,PASS,0,N/A,N/A
1085033-04 261607011336,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA21,ECD16010089-FAT-01,CR_CD01:1448,0,4/21/2026 12:31,PASS,0,N/A,N/A
BUNC1B347980#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1051,0,4/21/2026 12:32,PASS,0,N/A,N/A
1085033-04 261607000731,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA22,ECD16010089-FAT-01,CR_CD01:1111,0,4/21/2026 12:32,PASS,0,N/A,N/A
1085033-04 2616070008921085033-04 261607011079,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1098,0,4/21/2026 12:33,PASS,0,N/A,N/A
BUNC1B348047#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1426,0,4/21/2026 12:33,PASS,0,N/A,N/A
BUNC1B348024#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA06,ECD16010089-PAT-01,CR_CD01:1279,0,4/21/2026 12:33,PASS,0,N/A,N/A
BUNC1B348032#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA07,ECD16010089-PAT-01,CR_CD01:1252,0,4/21/2026 12:34,PASS,0,N/A,N/A
BUNC1B348034#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA08,ECD16010089-PAT-01,CR_CD01:1416,0,4/21/2026 12:34,PASS,0,N/A,N/A
1085033-04 2616070007111085033-04 261607000835,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1350,0,4/21/2026 12:35,PASS,0,N/A,N/A
BUNC1B348023#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_01,CA01,ECD16010089-PAT-01,CR_CD01:1347,0,4/21/2026 12:36,PASS,0,N/A,N/A
BUNC1B348042#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1013,0,4/21/2026 12:36,PASS,0,N/A,N/A
BUNC1B348043#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA01,ECD16010089-CVI-04,CR_CD01:1146,0,4/21/2026 12:36,PASS,0,N/A,N/A
1085033-04 261607000547,3572605118,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA19,ECD16010089-FAT-01,CR_CD01:1047,0,4/21/2026 12:37,PASS,0,N/A,N/A
BUNC1B347971#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_02,CA02,ECD16010089-PAT-02,CR_CD01:1355,0,4/21/2026 12:37,PASS,0,N/A,N/A
1085033-04 2616070005121085033-04 261607026478,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1172,0,4/21/2026 12:37,PASS,0,N/A,N/A
BUNC1B348040#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1455,0,4/21/2026 12:37,PASS,0,N/A,N/A
BUNC1B348031#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA06,ECD16010089-PAT-01,CR_CD01:1134,0,4/21/2026 12:38,PASS,0,N/A,N/A
BUNC1B348025#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA07,ECD16010089-PAT-01,CR_CD01:1124,0,4/21/2026 12:38,PASS,0,N/A,N/A
BUNC1B348039#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA01,ECD16010089-CVI-04,CR_CD01:1209,0,4/21/2026 12:38,PASS,0,N/A,N/A
BUNC1B348026#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA08,ECD16010089-PAT-01,CR_CD01:1462,0,4/21/2026 12:39,PASS,0,N/A,N/A
1085033-04 2616070113361085033-04 261607000716,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1448,0,4/21/2026 12:39,PASS,0,N/A,N/A
BUNC1B348038#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA01,ECD16010089-CVI-04,CR_CD01:1419,0,4/21/2026 12:39,PASS,0,N/A,N/A
BUNC1B347980#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_01,CA01,ECD16010089-PAT-01,CR_CD01:1051,0,4/21/2026 12:40,PASS,0,N/A,N/A
1085033-04 2616070113461085033-04 261607000731,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1095,0,4/21/2026 12:41,PASS,0,N/A,N/A
BUNC1B348042#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_02,CA02,ECD16010089-PAT-02,CR_CD01:1013,0,4/21/2026 12:41,PASS,0,N/A,N/A
1085033-04 261607011260,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA17,ECD16010089-FAT-01,CR_CD01:1174,0,4/21/2026 12:42,PASS,0,N/A,N/A
BUNC1B348043#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA06,ECD16010089-PAT-01,CR_CD01:1146,0,4/21/2026 12:43,PASS,0,N/A,N/A
BUNC1B348040#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA07,ECD16010089-PAT-01,CR_CD01:1455,0,4/21/2026 12:43,PASS,0,N/A,N/A
1085033-04 2616070005471085033-04 261607011458,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1047,0,4/21/2026 12:43,PASS,0,N/A,N/A
BUNC1B348038#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA08,ECD16010089-PAT-01,CR_CD01:1419,0,4/21/2026 12:44,PASS,0,N/A,N/A
1085033-04 261607011255,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA21,ECD16010089-FAT-01,CR_CD01:1189,0,4/21/2026 12:45,PASS,0,N/A,N/A
BUNC1B348039#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA06,ECD16010089-PAT-01,CR_CD01:1209,0,4/21/2026 12:47,PASS,0,N/A,N/A
BUNC1B348035#,3572605118,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA05,ECD16010089-PAT-01,CR_CD01:1030,0,4/21/2026 12:50,PASS,0,N/A,N/A
1085033-04 2616070112601085033-04 261607011236,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1174,0,4/21/2026 12:50,PASS,0,N/A,N/A
BUNC1B348037#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1046,0,4/21/2026 12:50,PASS,0,N/A,N/A
BUNC1B348041#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1289,0,4/21/2026 12:51,PASS,0,N/A,N/A
BUNC1B348049#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1360,0,4/21/2026 12:52,PASS,0,N/A,N/A
BUNC1B348046#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA01,ECD16010089-CVI-04,CR_CD01:1250,0,4/21/2026 12:52,PASS,0,N/A,N/A
BUNC1B347704#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1323,0,4/21/2026 12:53,PASS,0,N/A,N/A
BUNC1B348051#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA01,ECD16010089-CVI-04,CR_CD01:1078,0,4/21/2026 12:54,PASS,0,N/A,N/A
BUNC1B348050#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1371,0,4/21/2026 12:55,PASS,0,N/A,N/A
BUNC1B348053#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1372,0,4/21/2026 12:56,PASS,0,N/A,N/A
BUNC1B348037#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA06,ECD16010089-PAT-01,CR_CD01:1046,0,4/21/2026 12:56,PASS,0,N/A,N/A
1085033-04 261607000591,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA21,ECD16010089-FAT-01,CR_CD01:1095,0,4/21/2026 12:57,PASS,0,N/A,N/A
BUNC1B348056#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA01,ECD16010089-CVI-04,CR_CD01:1301,0,4/21/2026 12:57,PASS,0,N/A,N/A
BUNC1B348055#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1423,0,4/21/2026 12:57,PASS,0,N/A,N/A
BUNC1B348046#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA07,ECD16010089-PAT-01,CR_CD01:1250,0,4/21/2026 12:58,PASS,0,N/A,N/A
BUNC1B348054#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1008,0,4/21/2026 12:58,PASS,0,N/A,N/A
1085033-04 261607000647,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA22,ECD16010089-FAT-01,CR_CD01:1390,0,4/21/2026 12:59,PASS,0,N/A,N/A
BUNC1B347704#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA08,ECD16010089-PAT-01,CR_CD01:1323,0,4/21/2026 12:59,PASS,0,N/A,N/A
BUNC1B347868#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1307,0,4/21/2026 12:59,PASS,0,N/A,N/A
BUNC1B348057#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA01,ECD16010089-CVI-04,CR_CD01:1160,0,4/21/2026 12:59,PASS,0,N/A,N/A
BUNC1B348050#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_01,CA01,ECD16010089-PAT-01,CR_CD01:1371,0,4/21/2026 13:00,PASS,0,N/A,N/A
BUNC1B347867#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1166,0,4/21/2026 13:00,PASS,0,N/A,N/A
BUNC1B348041#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA06,ECD16010089-PAT-01,CR_CD01:1289,0,4/21/2026 13:01,PASS,0,N/A,N/A
BUNC1B348049#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA07,ECD16010089-PAT-01,CR_CD01:1360,0,4/21/2026 13:02,PASS,0,N/A,N/A
BUNC1B348056#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_02,CA02,ECD16010089-PAT-02,CR_CD01:1301,0,4/21/2026 13:02,PASS,0,N/A,N/A
BUNC1B348051#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA08,ECD16010089-PAT-01,CR_CD01:1078,0,4/21/2026 13:04,PASS,0,N/A,N/A
BUNC1B348036#,3572605118,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA05,ECD16010089-PAT-01,CR_CD01:1049,0,4/21/2026 13:04,PASS,0,N/A,N/A
BUNC1B348055#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA06,ECD16010089-PAT-01,CR_CD01:1423,0,4/21/2026 13:05,PASS,0,N/A,N/A
BUNC1B347867#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_02,CA02,ECD16010089-PAT-02,CR_CD01:1166,0,4/21/2026 13:07,PASS,0,N/A,N/A
BUNC1B347868#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA08,ECD16010089-PAT-01,CR_CD01:1307,0,4/21/2026 13:08,PASS,0,N/A,N/A
BUNC1B348048#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA01,ECD16010089-CVI-04,CR_CD01:1389,0,4/21/2026 13:11,PASS,0,N/A,N/A
BUNC1B348053#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_01,CA01,ECD16010089-PAT-01,CR_CD01:1372,0,4/21/2026 13:15,PASS,0,N/A,N/A
1085033-04 261607011375,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA21,ECD16010089-FAT-01,CR_CD01:1457,0,4/21/2026 13:15,PASS,0,N/A,N/A
1085033-04 261507028135,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA22,ECD16010089-FAT-01,CR_CD01:1116,0,4/21/2026 13:15,PASS,0,N/A,N/A
1085033-04 261607000726,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA17,ECD16010089-FAT-01,CR_CD01:1448,0,4/21/2026 13:16,PASS,0,N/A,N/A
BUNC1B347870#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1192,0,4/21/2026 13:18,PASS,0,N/A,N/A
1085033-04 261507028138,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA22,ECD16010089-FAT-01,CR_CD01:1277,0,4/21/2026 13:18,PASS,0,N/A,N/A
1085033-04 261607011472,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA23,ECD16010089-FAT-01,CR_CD01:1189,0,4/21/2026 13:19,PASS,0,N/A,N/A
1085033-04 261707005617,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA21,ECD16010089-FAT-01,CR_CD01:1109,0,4/21/2026 13:21,PASS,0,N/A,N/A
BUNC1B347878#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1118,0,4/21/2026 13:21,PASS,0,N/A,N/A
1085033-04 261607011261,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA22,ECD16010089-FAT-01,CR_CD01:1130,0,4/21/2026 13:22,PASS,0,N/A,N/A
BUNC1B348057#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_02,CA02,ECD16010089-PAT-02,CR_CD01:1160,0,4/21/2026 13:22,PASS,0,N/A,N/A
BUNC1B347876#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1024,0,4/21/2026 13:22,PASS,0,N/A,N/A
BUNC1B348045#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1220,0,4/21/2026 13:24,PASS,0,N/A,N/A
BUNC1B347890#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1387,0,4/21/2026 13:25,PASS,0,N/A,N/A
BUNC1B348054#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_01,CA01,ECD16010089-PAT-01,CR_CD01:1008,0,4/21/2026 13:25,PASS,0,N/A,N/A
1085033-04 261607000780,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA21,ECD16010089-FAT-01,CR_CD01:1065,0,4/21/2026 13:25,PASS,0,N/A,N/A
1085033-04 261607000480,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA22,ECD16010089-FAT-01,CR_CD01:1266,0,4/21/2026 13:26,PASS,0,N/A,N/A
1085033-04 2616070006641085033-04 261607000726,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1394,0,4/21/2026 13:26,PASS,0,N/A,N/A
BUNC1B348048#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_02,CA02,ECD16010089-PAT-02,CR_CD01:1389,0,4/21/2026 13:27,PASS,0,N/A,N/A
1085033-04 261607011258,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA23,ECD16010089-FAT-01,CR_CD01:1110,0,4/21/2026 13:27,PASS,0,N/A,N/A
BUNC1B347876#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA08,ECD16010089-PAT-01,CR_CD01:1024,0,4/21/2026 13:28,PASS,0,N/A,N/A
1085033-04 2616070114721085033-04 261507028138,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1189,0,4/21/2026 13:28,PASS,0,N/A,N/A
BUNC1B347888#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1222,0,4/21/2026 13:29,PASS,0,N/A,N/A
1085033-04 261607011257,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA17,ECD16010089-FAT-01,CR_CD01:1400,0,4/21/2026 13:29,PASS,0,N/A,N/A
1085033-04 261607000897,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA22,ECD16010089-FAT-01,CR_CD01:1183,0,4/21/2026 13:29,PASS,0,N/A,N/A
BUNC1B347882#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1377,0,4/21/2026 13:30,PASS,0,N/A,N/A
BUNC1B347890#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_01,CA01,ECD16010089-PAT-01,CR_CD01:1387,0,4/21/2026 13:30,PASS,0,N/A,N/A
BUNC1B347874#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1254,0,4/21/2026 13:31,PASS,0,N/A,N/A
1085033-04 261607000489,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA21,ECD16010089-FAT-01,CR_CD01:1034,0,4/21/2026 13:31,PASS,0,N/A,N/A
BUNC1B347870#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_02,CA02,ECD16010089-PAT-02,CR_CD01:1192,0,4/21/2026 13:31,PASS,0,N/A,N/A
BUNC1B347893#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1168,0,4/21/2026 13:33,PASS,0,N/A,N/A
BUNC1B348045#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU,CA08,ECD16010089-PAT-01,CR_CD01:1220,0,4/21/2026 13:34,PASS,0,N/A,N/A
1085033-04 261607000540,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA17,ECD16010089-FAT-01,CR_CD01:1201,0,4/21/2026 13:37,PASS,0,N/A,N/A
1085033-04 261607000781,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA22,ECD16010089-FAT-01,CR_CD01:1232,0,4/21/2026 13:37,PASS,0,N/A,N/A
1085033-04 261607000826,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA18,ECD16010089-FAT-02,CR_CD01:1395,0,4/21/2026 13:37,PASS,0,N/A,N/A
1085033-04 261607000510,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA23,ECD16010089-FAT-01,CR_CD01:1125,0,4/21/2026 13:37,PASS,0,N/A,N/A
BUNC1B347893#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_02,CA02,ECD16010089-PAT-02,CR_CD01:1168,0,4/21/2026 13:38,PASS,0,N/A,N/A
1085033-04 2617070056171085033-04 261607011261,3572603330,ECD16010089,CD01,FINAL-TEST,EER CDBU,EER_CDBU,TA08,ECD16010089-EER-01,CR_CD01:1109,0,4/21/2026 13:40,PASS,0,N/A,N/A
BUNC1B347882#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_01,CA01,ECD16010089-PAT-01,CR_CD01:1377,0,4/21/2026 13:41,PASS,0,N/A,N/A
1085033-04 261607000306,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA23,ECD16010089-FAT-01,CR_CD01:1413,0,4/21/2026 13:41,PASS,0,N/A,N/A
1085033-04 261607011345,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA18,ECD16010089-FAT-02,CR_CD01:1100,0,4/21/2026 13:41,PASS,0,N/A,N/A
1085033-04 261607000648,3572603330,ECD16010089,CD01,FINAL-TEST,ATS2 CDBU,ATS2_CDBU,CA17,ECD16010089-FAT-01,CR_CD01:1012,0,4/21/2026 13:42,PASS,0,N/A,N/A
BUNC1B347878#,3572603330,ECD16010089,CD01,ASSEMBLY,ATS1 CDBU,ATS1_CDBU_01,CA01,ECD16010089-PAT-01,CR_CD01:1118,0,4/21/2026 13:46,PASS,0,N/A,N/A
BUNC1B347747#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1357,0,4/21/2026 13:52,PASS,0,N/A,N/A
BUNC1B347750#,3572603330,ECD16010089,CD01,ASSEMBLY,CVI CDBU,CVI_CDBU,TA03,ECD16010089-CVI-01,CR_CD01:1399,0,4/21/2026 13:54,PASS,0,N/A,N/A
